Parts;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;VALUE
C1;;CPOL-EUE5-10.5;E5-10,5;POLARIZED CAPACITOR, European symbol;;;;;
C2;100nf;C-EU025-030X050;C025-030X050;CAPACITOR, European symbol;;;;;
D1;CX-G302DC;DIP-LED-GREEN-GREEN(2P-D3MM);LED2-2.54-D3.0MM;304090040;;CX-G302DC;;;CX-G302DC
DO;;PINHD-1X1;1X01;PIN HEADER;;;;;
IC1;74ACT125N;74ACT125N;DIL14;Quad bus BUFFER, 3-state;;;;;
J1;JST1.25_10PIN;JST1.25_10PIN;JST1.25_10PIN;;;;;;
J2;JST1.25_10PIN;JST1.25_10PIN;JST1.25_10PIN;;;;;;
JMECH;;PINHD-1X12;1X12;PIN HEADER;;;;;
JP1;;PINHD-1X3;1X03;PIN HEADER;;;;;
JP2;;PINHD-1X3;1X03;PIN HEADER;;;;;
JP3;;PINHD-2X20;2X20;PIN HEADER;;;;;
R1;470R;R-EU_0207/7;0207/7;RESISTOR, European symbol;;;;;
S1;;10-XX;B3F-10XX;OMRON SWITCH;;B3F-1000;176432;36M3542;
U$2;SPI_TFT_1.44;"SPI_TFT_1.44"";""SPI_TFT_1.44";;;;;;;
U$3;JST1.25_4PIN;JST1.25_4PIN;JST1.25_4PIN;;;;;;
U1;;USB-THROUGH;USB-MICRO-THROUGH;This is a USB AB connector that is compatible with USB OTG. i.e. this connector can serve as a host or device;;;;;
